x,y,mi,mis,sc,sc_masked,mean_intensity
-1200,100,0.0,0.0,0.2797088623046875,0.0,165.93826270246282
-1100,100,0.05690388203744948,0.058190769102015705,0.280029296875,0.006434435322831151,164.75504770357222
-1000,100,0.2507088234262632,0.31262362262750576,0.2961883544921875,0.30957399600621255,124.33808520079876
-900,100,0.2780308271829155,0.41094629201539834,0.3085784912109375,0.664577324162414,78.12025737741291
-800,100,0.23609078085252663,0.3949880517644414,0.321136474609375,0.794486354559574,62.970213001996896
-700,100,0.24480886225324516,0.3929007193644056,0.3165740966796875,0.7404592855558021,68.41812735744398
-600,100,0.25925431326436865,0.40349660303583523,0.3189239501953125,0.721211448857333,71.87325271799423
-500,100,0.25275268870215517,0.4147895202974514,0.3202972412109375,0.810184157976481,63.711393388063016
-400,100,0.23838879230265367,0.39558870355182163,0.32073974609375,0.7859995562458398,64.05563567783447
-300,100,0.24790488259024857,0.4031189939725428,0.31610107421875,0.7760705569114711,65.92062347459508
-200,100,0.24572451919052976,0.3961904610587348,0.318634033203125,0.752329709341025,68.7945418238296
-100,100,0.24380711865532786,0.395293695091982,0.3167266845703125,0.7574328821832704,67.47026847126692
0,100,0.25231898071061115,0.40925263946366197,0.3166656494140625,0.784668293765254,63.63401375637896
100,100,0.24918079824006875,0.4000350249984446,0.318359375,0.7542711337918793,67.55374972265365
200,100,0.2408330966081473,0.39625799121653427,0.32269287109375,0.7771244730419348,64.74794763700909
300,100,0.23550984908102165,0.3945624339490048,0.3192138671875,0.7952629243399156,63.207344131351235
400,100,0.23451325385630462,0.3980588495962647,0.31744384765625,0.8177279786998003,61.16502107832261
500,100,0.24604151727746856,0.39950279972699154,0.317108154296875,0.7673064122476149,66.93382516086088
600,100,0.24447297074327898,0.39246498316839545,0.31890869140625,0.7399600621255824,68.00138673175061
