x,y,mi,mis,sc,sc_masked,mean_intensity,p-cor
-100,0,0.250919787,0.404458727,0.325210571,0.767694697,67.4296095,-0.030625714
-300,100,0.247904883,0.403118994,0.316101074,0.776070557,65.92062347,-0.03063187
100,-1000,0.174920396,0.191916181,0.283233643,0.084978922,154.2600954,-0.030815976
500,500,0.239669774,0.397502035,0.322845459,0.789161305,64.51070557,-0.031086274
-100,900,0.26079221,0.391400153,0.306976318,0.653039716,81.82543821,-0.031118199
-500,400,0.243124552,0.397318029,0.320755005,0.770967384,66.17672509,-0.031315525
-900,-100,0.287108734,0.413356793,0.308288574,0.631240293,82.2749057,-0.031357862
-300,200,0.246223474,0.402214155,0.316314697,0.779953406,65.88944974,-0.031470671
-700,500,0.24392391,0.398505672,0.312149048,0.772908809,66.11637453,-0.03163114
600,-400,0.240604758,0.395364021,0.32258606,0.773796317,66.23258265,-0.031903679
-900,0,0.277198149,0.40443356,0.31149292,0.636177058,81.66224761,-0.032227157
